file,label,score,threshold_pass
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_hey_viola.wav,positive,0.902404,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_hey_viola_noisy.wav,positive,0.975538,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_hey_viola_reverb.wav,positive,0.875522,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_ok_viola.wav,positive,0.954780,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_ok_viola_noisy.wav,positive,0.979591,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_ok_viola_reverb.wav,positive,0.958077,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_viola.wav,positive,0.791137,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_viola_noisy.wav,positive,0.868275,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_viola_reverb.wav,positive,0.812501,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_viola_wake_up.wav,positive,0.277073,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_viola_wake_up_noisy.wav,positive,0.329208,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-NatashaNeural_viola_wake_up_reverb.wav,positive,0.212044,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_hey_viola.wav,positive,0.964781,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_hey_viola_noisy.wav,positive,0.983755,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_hey_viola_reverb.wav,positive,0.979948,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_ok_viola.wav,positive,0.976042,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_ok_viola_noisy.wav,positive,0.971870,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_ok_viola_reverb.wav,positive,0.971239,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_viola.wav,positive,0.909040,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_viola_noisy.wav,positive,0.965460,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_viola_reverb.wav,positive,0.926603,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_viola_wake_up.wav,positive,0.020416,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_viola_wake_up_noisy.wav,positive,0.033439,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-AU-WilliamNeural_viola_wake_up_reverb.wav,positive,0.024950,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_hey_viola.wav,positive,0.929148,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_hey_viola_noisy.wav,positive,0.980811,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_hey_viola_reverb.wav,positive,0.931247,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_ok_viola.wav,positive,0.977526,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_ok_viola_noisy.wav,positive,0.990368,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_ok_viola_reverb.wav,positive,0.981060,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_viola.wav,positive,0.883176,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_viola_noisy.wav,positive,0.966468,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_viola_reverb.wav,positive,0.896657,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_viola_wake_up.wav,positive,0.026997,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_viola_wake_up_noisy.wav,positive,0.102213,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-ClaraNeural_viola_wake_up_reverb.wav,positive,0.145933,False
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-LiamNeural_hey_viola.wav,positive,0.738633,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-LiamNeural_hey_viola_noisy.wav,positive,0.948465,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-LiamNeural_hey_viola_reverb.wav,positive,0.790092,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-LiamNeural_ok_viola.wav,positive,0.936908,True
J:\CLAUDE\PROJECTS\Wakeword\eval_clean\positives\edge_tts\en-CA-LiamNeural_ok_viola_noisy.wav,positive,0.984665,True
